абажур,"Колпак для лампы, светильника"
артачиться,"Упрямиться, не соглашаться"
артель,"1) Основная форма социалистического производственного объединения граждан для в едения коллективного хозяйства на базе обобществления средств производства
2) Объединение лиц некоторых профессий (связанных с физическим тной работы, с участием в общих доходах и общей ответственно"
артериосклероз,"Устаревшее название разных заболеваний артерий, сопровождающееся их склерозом"
артерия,Poet путь сообщения
артикул,"1) Тип или род изделия, товара
2) Тип или род изделия, товара, а также его цифровое или буквенное обозначение"
артиллерист,Военнослужащий артиллерии
артиллерия,"1) Наука, изучающая технику огнестрельных орудий и их применение
2) Род войск с таким вооружением"
артист,"Человек, который обладает высоким мастерством в какой-нибудь области"
артистический,"1) Очень искусный
2) От слова артист
3) Свойственный артистам, характерный для них"
артишок,"Травянистое растение семейства сложноцветных с крупными соцветиями, нижние мясистые части которых идут в пищу"
арфа,Щипковый музыкальный инструмент в виде большой треугольной рамы с натянутыми внутри нее струнами
архаизировать,"Делать (сделать) архаичным, устарелым по стилю, по манере изображения"
архаизм,Пережиток старины
архаический,"Представляющий собой архаизм, архаику, свойственный старине"
архалук,В старину: род короткого кафтана
архар,Горный дикий баран с закрученными рогами
археограф,Специалист по археографии
археография,"Историческая дисциплина, занимающаяся описанием и изданием письменных памятнико в прошлого, а также научное собирание таких памятников"
археология,"Наука, изучающая быт и культуру древних народов по сохранившимся вещественным памятникам"
архив,"1) Собрание рукописей, писем и т. п., относящихся к деятельности какого-нибудь учреждения, лица
2) Учреждение для хранения старых, старинных документов, документальных материалов
3) Отдел учреждения, где хранятся старые документы"
архивист,Специалист по архивному делу
архиепископ,"Епископ, надзирающий над несколькими епархиями, вообще почетный титул епископа, а также лицо, имеющее этот титул"
архимандрит,"1) Монашеское звание (обычно настоятеля мужского монастыря), предшествующее еписко пу
2) Монашеское звание (обычно настоятеля мужского монастыря), предшествующее еписко пу, а также лицо, имеющее это звание"
архитектоника,"Сочетание частей в одном стройном целом, композиция"
архитектура,"1) Стиль постройки
2) Искусство проектирования и строения зданий, сооружений, зодчество
3) Здания, сооружения"
аршин,"Линейка, планка такой длины для измерения"
аршинный,"Очень длинный, большой"
арьергард,"Часть войск (или флота), находящаяся позади главных сил"
ас,"Большой мастер, отличный специалист"
асептика,"Предохранение тканей от заражения при операциях, при лечении ран"
асессор,"Коллежский асессор гражданский чин восьмого класса, а также в царской россии: лицо, имеющее этот чин"
аскетизм,Строгий образ жизни с отказом жизненных благ и удовольствий
аскорбиновый,"Аскорбиновая кислота витамин с, участвующий в окислительных и восстановительных процессах в организме"
аспид,"1) 1 прост. бран. злой, злобный человек
2) 1 ядовитая змея, родственная кобре, ехидне
3) 2 разновидность горного сланца"
аспирантура,"Подготовка, которую проходят аспиранты, система такой подготовки"
ассамблея,"При петре i: бал, увеселительный вечер"
ассенизация,Система санитарных мероприятий и устройств по удалению и обезвреживанию жидких нечистот
ассигнование,"1) Ассигнованная сумма
2) От слова ассигновать"
ассиметричный,Лишенный симметрии
ассимилировать,"Видоизменяя, уподобить (уподоблять) кому-чему-нибудь"
ассистент,"1) Помощник профессора, врача при выполнении ими каких-нибудь научных работ, операций
2) Младшая преподавательская должность в высших учебных заведениях
3) Младшая преподавательская должность в высших учебных заведениях, а также лицо, занимающее эту должность"
ассонанс,Созвучие гласных звуков
ассорти,"Специально подобранная смесь чего-нибудь, набор"
ассоциативный,Устанавливаемый по ассоциации (второе определение)
ассоциация,Объединение лиц или учреждений одного рода деятельности
ассоциироваться,Соединиться (-няться) в представлении по ассоциации (второе определение)
астероид,Малая планета (с диаметром от 1 до 1000 км)
астма,Болезнь - приступы удушья
астра,"Садовое декоративное растение семейства сложноцветных с крупными цветками различной окраски, обычно без запаха"
астро...,"1) Первая часть сложных слов со знач. относящийся к астрономии
2) Первая часть сложных слов со знач. относящийся к небесным телам
3) Первая часть сложных слов со знач. относящийся к космическому пространству"
астрология,"Учение о возможности связи, существующей между расположением небесных светил и судьбами людей и народов, о возможности предсказания будущего по положению звезд"
астронавт,"1) Синоним слова космонавт(в некоторых зарубежных терминологиях)
2) Специалист по астронавтике"
астроном,Специалист по астрономии
асфальт,"1) Черная смолистая масса, употребляемая для заливки покрытий дорог, улиц, тротуаров
2) Дорога, покрытая такой массой"
ась,"Употр. как вопросительный отклик при переспросе, как просьба подтвердить что-н. употр. как вопросительный отклик при переспросе, как просьба подтвердить что-нибудь +"
атака,"1) Быстрое и решительное наступление (в споре, в работе, в игре)
2) Стремительное наступательное движение войск"
атаман,"1) Название военно-административных должностей в казачьих областях до революции и в казачьих войсках в старину, лицо, занимавшее одну из таких должностей
2) Главарь, предводитель"
атеист,Последователь атеизма
ателье,"1) Мастерская по шитью одежды [из первоначального названия ""ателье мод""]
2) Мастерская по шитью одежды [из первоначального названия ""ателье мод""], а также мастерская по некоторым другим видам обслуживания"
атлас,Сорт гладкой и блестящей шелковой шелковой ткани
атлентизм,Синоним слова культуризм
атлет,О человеке крепкого телосложения
атлетический,"1) (о телосложении) мощный, крепкий, такой, как у атлета
2) От слова атлетика"
атмосфера,"1) Газообразная оболочка, окружающая землю, некоторые другие планеты, солнце и звезды
2) Единица давления"
атом,"Мельчайшая частица химического элемента, состоящая из ядра и электронов"
атомарный,От слова атом
атомник,Ученый - специалист по атомной (ядерной) энергии
атомщик,"1) Сторонник развязывания ядерной войны, применения ядерного оружия deprec
2) Синоним слова атомщик"
атрибут,В грамматике: синоним слова определение
атрофироваться,Подвергнуться (-гаться) атрофии
атташе,"Должностное лицо при дипломатическом представительстве, являющееся специалистом -консультантом в какой-нибудь области"
аттестат,"1) В дореволюционной россии: свидетельство о прохождении службы
2) Выдаваемый военнослужащему документ на право получения денежного или другого довольствия
3) Официальный документ об окончании учебного заведения, о присвоении звания
4) Obs рекомендация с места прежней службы, работы"
аттестовать,"1) Оценить (-нивать) чьи-нибудь знания, поставив какую-нибудь отметку
2) Присвоить (-ваивать) звание кому-нибудь"
аттракцион,Эффектный цирковой или эстрадный номер
ау,"1) Восклицание, которым перекликаются в лесу, чтобы не потерять друг друга
2) Кончено, пропало"
аудиенция,Официальный прием у высокопоставленного лица
аудитория,"Слушатели лекции, доклада, выступления"
аукаться,"Перекликаться, крича ""ау!"""
аукционер,Участник аукциона
аул,"(на кавказе, в средней азии). селение"
аут,"В боксе: возглас судьи, означающий, что боксер нокаутирован"
аутентичный,Синоним слова аутентический
аутодафе,"В средние века: публичное сожжение еретиков, еретических сочинений по приговорам инквизиции"
аутсайдер,"Спортсмен или спортивная команда, занимающие в соревновании одно из последних мест и не имеющие шансов на победу"
афганцы,"Народ, составляющий основное население афганистана"
аферист,"Человек, который занимается аферами"
афишировать,"Выставить (-влять) напоказ, подчеркнуть (-черкивать) что-нибудь своим поведением"
афористичный,"Содержащий афоризм, построенный на афоризмах"
афронт,"Неудача, посрамление"
аффектация,"Неестественная, обычно показная возбужденность в поведении, в речи"
аффикс,"В грамматике: морфема, заключающая в себе словообразовательное или собственно формальное значение (приставка, суффикс, постфикс, флексия)"
ах,"1) Усиливает слово, к которому примыкает одно или вместе с местоименными словами ""как"", ""какой"". +
2) Аханье, восклицания, выражающие удивление, сожаление"
ахиллесов,
ахнуть,"1) Издать резкий и громкий звук
2) Произвести какое-нибудь действие резко, с шумом, внезапно
3) От слова ахать"
аховый,"Плохой, скверный"
ацетаты,Сложные эфиры уксусной кислоты или ее соли
ацетон,"Бесцветная горючая жидкость, употребляемая в технике и медицине, а также как растворитель"
аэрарий,Площадка для принятия воздушных ванн
аэрация,"Вентиляция, воздухообмен"
аэро...,"Первая часть сложных слов со знач. относящийся к авиации, воздухоплаванию"
аэробус,"Двухпалубный самолет, предназначенный для одновременной перевозки большого количества людей и их багажа, размещаемого самими пассажирами в багажных отсеках"
аэродром,"Комплекс сооружений и технических средств, предназначенный для взлета, посадки стоянки и обслуживания самолетов, вертолетов и планеров"
аэролог,Специалист по аэрологии
аэромеханика.,"Раздел механики, изучающий газообразные среды и их воздействие на погруженные в них тела"
аэронавтика,Синоним слова воздухоплавание
аэропорт,"Крупная станция воздушного транспорта с большим аэродромом, воздушный порт"
аэростат,"Летательный аппарат легче воздуха с корпусом, наполненным газом"
аэрофотосъемка,Фотографирование местности с летательного аппарата
аятолла,"Высший духовный титул в одном из основных направлений ислама в иране, а также лицо, имеющее этот титул"
ба,Выражает удивление. +
баба,"1) 1 о робком слабохарактерном мужчине
2) 1 замужняя крестьянка
3) 1 а также вообще женщина из простонародья
4) 1 (прост. и обл.). синоним слова жена (первое определение)
5) 1 синоним слова бабушка (второе определение) (non-st. и regio), в детской речи - синоним слова бабушка (первое определение)
6) 1 (прост. и обл.) синоним слова бабушка (второе определение)
7) 1 в детской речи синоним слова бабушка (первое определение)
8) 2 ударная часть молота (опред. 2,) копра, ковочного и штамповочного устройства
9) "
бабахнуть,Синоним слова бахнуть
бабенка,Молодая бойкая женщина
бабка,"1) 1 obs синоним слова повивальная бабка
2) 1 синоним слова знахарка
3) 2 кость этого сустава, употребляемая для игры
4) 2 у животных: надкопытный сустав ноги"
бабочка,"1) Насекомое с двумя парами крыльев разнообразной окраски, покрытых пыльцой
2) Галстук в виде короткого жесткого банта, по форме напоминающего бабочку"
бабушка,"1) Мать отца или матери
2) Вообще о старой женщине"
багаж,"Вещи, груз пассажиров, упакованные для отправки, перевозки"
багет,Планка для рамок и карнизов
багор,Шест с металлическим крюком и острием
багроветь,"Становиться багровым, багровее"
багрянец,Багровый цвет
багульник,"1) Народное название кустарникового растения с нежными сиреневорозовыми цветками - одного из видов рододендрона
2) Вечнозеленый болотный с одурманивающим запахом кустарничек семейства вересковых"
бадминтон,"Спортивная игра в волан, перебрасываемый ракетками через сетку от одного игрока к другому, а также соответствующий вид спорта"
бадья,Широкое низкое ведро
база,"1) Основание сооружения
2) Склад, место хранения товаров, материалов, продуктов
3) Опорный пункт вооруженных сил страны на своей или чужой территории
4) Учреждение, предприятие, центральный пункт по снабжению или обслуживанию кого-чего-нибудь"
базар,"1) Шум, крик
2) Место для торговли, обычно на площади
3) Место розничная торговля на таком месте"
базировать,Основывать на чем-нибудь
базироваться,"Иметь что-н своей базой, местом стоянки, снабжения"
базис,"Совокупность исторически сложившихся производственных отношений, лежащих в основе надстройки (третье определение) данного общества"
бай,"2 и бай-бай бай-бай припев колыбельной песни в знач. спи, засыпай"
байбак,"Неповоротливый, ленивый человек"
байдарочник,"1) Спортсмен, занимающийся греблей на байдарке
2) А также вообще тот, кто плавает, плывет на байдарке"
байка,"2 побасенка, выдумка, басня (второе определение)"
бак,"1) 1 носовая надстройка судна
2) 2 большой сосуд для жидкостей"
бакалавр,"1) Ученая степень, а также в некоторых зарубежных странах: лицо, имеющее эту степень
2) А также во франции человек, сдавший экзамен за курс средней школы"
бакалея,"Магазин, торгующий такими товарами"
бакенбарды,"Волосы, растущие от висков по щекам (обычно при выбритом подбородке)"
баккара,"1) Один из наиболее ценных сортов хрусталя
2) Сделанный из такого хрусталя"
баклажан,"1) Огородное растение семейства пасленовых с продолговатым, обычно темно-фиолетовым плодом
2) Огородное растение сем. пасленовых с продолговатым, обычно темно-фиолетовым плодом, а также плод его"
баклуши,
бактериология,Раздел микробиологии - наука о бактериях
бактерия,"Микроорганизм, maxime одноклеточный"
балабол,Синоним слова балаболка
балаган,"1) Старинное народное театральное зрелище комического характера с примитивным сценическим оформлением
2) Нечто грубое, шутовское, пошло-несерьезное
3) Obs временная легкая деревянная постройка для ярмарочной торговли, жилья, зрелищ"
балагур,"Человек, который любит балагурить, шутник, весельчак"
балалаечник,"Музыкант, играющий на балалайке"
баламут,"Человек, вызывающий беспокойство, волнение среди кого-нибудь, вздорный болтун"
баламутить,"Вызывать беспокойство, волнение среди кого-нибудь"
баланс,"1) Сравнительный итог прихода и расхода
2) Сводная ведомость о состоянии приходно-расходных средств предприятия на определенную дату"
балансир,"1) Двуплечий рычаг
2) Шест, при помощи которого акробат на канате сохраняет равновесие
3) Регулятор хода в часовом механизме, заменяющий маятник"
балансировать,Сохранять равновесие посредством телодвижений
балахон,"Jest а также вообще слишком просторная, бесформенная одежда"
балда,"Бестолковый человек, дурак"
балдеть,"1) Проводить время в бездействии, праздности
2) Синоним слова обалдевать"
балет,"1) Искусство сценического танца
2) Артисты, участвующие в таком представлении
3) Театральное представление - танцы и пантомима, сопровождаемые музыкой"
балетоман,Страстный любитель балета как зрелища
балка,"1) 1 часть сооружения, машины, станка - опорный брус
2) 2 лощина, ложбина, овраг, иногда большой протяженности"
балкон,"1) Верхний или средний ярус в зрительном зале
2) Выступающая из стены здания площадка с перилами, решеткой"
балл,"Единица оценки степени, силы какого-нибудь физического явления"
баллада,"Лирическое или лиро-эпическое стихотворение особой формы на историческую, обычно легендарную, тему"
балласт,"1) Груз для улучшения мореходных качеств судна, для регулирования высоты полета аэростата
2) То, что излишне отягощает, обременяет кого-что-нибудь"
баллон,"1) Шарообразный или цилиндрический сосуд специального назначения (для жидкостей, газов)
2) Оболочка аэростата, наполняемая газом
3) Резиновая автомобильная, велосипедная камера, наполняемая воздухом"
баллотироваться,Выставлять свою кандидатуру для баллотировки
баловать,"1) Относиться к кому-нибудь с излишним вниманием, потворствуя всем желаниям, прихотям
2) Синоним слова баловаться (первое определение)"
баловаться,"1) Делать что-нибудь ради удовольствия, развлечения
2) Шалить, забавляться
3) Шалить, забавляться, а также обращать в забаву что-нибудь серьезное"
баловень,"Человек, которого балуют которому во всем потворствуют"
баловной,"Шаловливый, озорной"
балтиец,Моряк балтийского флота
бальзам,"1) Густая душистая жидкость из растворенных в эфирных маслах смол или других растительных веществ
2) Целительное средство"
бальзамировать,Пропитывать (-тать) (тело умершего) особыми веществами для предохранения от гниения
балюстрада,Перила из фигурных столбиков
балясничать,"Заниматься праздным, пустым разговором, болтать"
бамбук,"Высокое и гибкое тропическое и субтропическое растение, древовидный злак с крепким полым стеблем"
бампер,Буфер автомобиля
банальность,"Избитое выражение, банальная мысль"
банан,"1) Высокое тропическое растение с большими листьями
2) Высокое тропическое растение с большими листьями, а также его удлиненный и слегка изогнутый сладкий мучнистый плод, растущий в соплодии"
бандаж,"1) Металлический пояс, обод, надеваемый на части машин, на железнодорожные колеса для увеличения их прочности или уменьшения износа
2) Упруго облегающая повязка для поддержания отдельных частей тела в нужном положении"
бандероль,"1) Бумажная обертка в виде широкой ленты или конверта
2) Небольшое почтовое отправление в бумажной обертке"
бандитизм,"Преступная деятельность бандитов, разбой, грабеж"
бандура,"1) Прост. неодобр. громоздкий и нескладный предмет
2) Украинский народный струнный щипковый музыкальный инструмент"
бандюга,Синоним слова бандит
банк,"1) 1 финансовое предприятие производящее операции со вкладами, кредитами и платежами
2) 2 азартная карточная игра
3) 2 в карточных играх: поставленные на кон деньги"
банка,"1) 1 маленький грушевидный стеклянный сосуд, применяемый в медицине с целью вызвать местный прилив крови
2) 2 часть морского дна, возвышающаяся над окружающими глубинами"
банкир,Владелец или крупный акционер банка 1 (первое определение)
банкомет,"Игрок в карты, который держит банк 2 (первое определение)"
банкрот,"Несостоятельный должник, оказывающийся платить своим кредитом вследствие разорения"
банкротство,"Несостоятельность, сопровождающаяся прекращением платежей по долговым обязательствам"
банщик,Работник в моечном отделении бани
баня,Мытье людей
баптист,Последователь баптизма - одной из разновидностей протестантизма
бар,"1) 1 маленький ресторан, где пьют и едят у стойки
2) 1 маленький ресторан, где пьют и едят у стойки, а также сама такая стойка
3) 2 единица атмосферного давления"
барабан,"1) Ударный мембранный музыкальный инструмент в виде цилиндра, сверху и снизу обтянутого кожей
2) Полый цилиндр в механизмах
3) А также вообще техническое устройство цилиндрической формы"
барабанить,Часто и дробно стучать
барак,"Здание легкой постройки, предназначенное для временного жилья"
баран,Самец домашней овцы
баранка,"1) Пшеничный хлебец в виде кольца из заварного крутого теста
2) Рулевое колесо автомобиля"
барахло,"1) О ком-чем-нибудь плохом, негодном
2) Старье, старые вещи
3) (пренебр.) а также вообще вещи (второе определение)"
барахольщик,"Любитель вещей (опред. 2,) барахла"
барашек,"1) От слова баран
2) Выделанная шкурка молодой овцы
3) Синоним слова ягненок"
барашки,"Небольшие белые пенистые волны, а также небольшие перисто-кучевые облака"
барбарис,"Колючий кустарник с мелкими красными кислыми ягодами, а также сами ягоды"
барвинок,Вечнозеленое травянистое растение обычно с голубоватыми цветками
бард,"1) Поэт и музыкант, исполнитель собственных песен
2) У древних кельтов: певец-поэт"
бардак,"1) Прост. презр. полный беспорядок и развал
2) Синоним слова публичный дом"
баржа,"Грузовое судно, обычно плоскодонное"
барин,"1) Человек, который не любит трудиться сам и предпочитает перекладывать работу на других
2) В дореволюционной россии: человек из привилегированных классов (помещик, чиновник)
3) Человек из привилегированных классов (помещик, чиновник), а также в дореволюционной россии: обращение к нему"
баритон,"1) Мужской голос, средний между тенором и басом
2) Певец c таким голосом"
барич,"1) Obs сын барина (первое определение)
2) (разг. пренебр.). синоним слова барин (второе определение)"
барка,Легкая деревянная баржа
баркарола,Песня музыкальное или вокальное произведение в стиле песни лирического склада
баркас,Небольшое парусное судно
бармен,"Официант в баре 1 (опред. 1,) а также владелец бара"
баро...,Первая часть сложных слов со знач. относящийся к давлению (второе определение)
барокамера,Герметическая камера (первое определение) в которой искусственно регулируется давление (второе определение)
барокко,"Имеющий такой стиль, выполненный в таком стиле"
барометр,Прибор для измерения атмосферного давления
барон,"Дворянский титул ниже графского, а также лицо, имеющее этот титул"
барржировать,"О самолетах-истребителях: патрулировать по определенному маршруту, охраняя от авиации противника военные или другие важные объекты"
баррикадировать,Загораживать баррикадой
барский,"1) Высокомерно-пренебрежительный
2) От слова барин"
барство,"1) Высокомерие, пренебрежительное отношение к людям
2) Барская изнеженность, нежелание работать
3) Obs помещики, дворяне"
барсук,"Хищный зверь сем. куниц с неуклюжим телом, острой мордой и с густой длинной грубой шерстью, а также мех его"
бархат,Плотная шелковая или хлопчатобумажная ткань с мягким гладким и густым ворсом
бархатка,"Ленточка из бархата, кусочек бархата"
бархатный,От слова бархат
барчонок,Синоним слова барчук
баршина,При крепостном праве: принудительный труд крестьян на помещичьей земле
барыня,"1) 1 народная плясовая песня
2) 1 народная плясовая песня, а также пляска в ритме этой песни
3) 2 от слова барин"
барышник,"1) Торговец лошадьми
2) Синоним слова перекупщик"
барышня,Девушка из барской семьи или вообще из интеллигентной среды
барьер,"1) Загородка, ограждение
2) Obs черта, обозначающая расстояние между участниками дуэли
3) Преграждение, препятствие для чего-нибудь"
бас,"1) Певец с таким голосом
2) Самый низкий мужской голос"
басистый,Обладающий густым басом
баскетбол,"1) Спортивная командная игра, в которой игроки стараются руками забросить мяч в корзину (второе определение)
2) Спортивная командная игра, в которой игроки стараются руками забросить мяч в корзину (опред. 2,) а также соответствующий вид спорта"
баски,"Народ, составляющий основное население северо-восточных областей испании и юго-западных районов франции"
басмач,В средней азии и некоторых азиатских странах: участник контрреволюционной банды
баснословный,"1) Необычайно большой
2) Obs легендарный, мифический"
басня,"Краткое иносказательное нравоучительное стихотворение, рассказ"
басовый,От слова бас
бассейн,"1) Область залегания полезных ископаемых
2) Искусственный водоем, сооруженный для плавания, купания, в декоративных целях
3) Совокупность притоков реки, озера
4) Совокупность притоков реки, озера, а также площадь стока поверхностных и подземных вод в водоем"
бастион,Крепостное военное укрепление пятиугольной формы
бастовать,"Объявив забастовку, прекращать работу"
баталист,"Художник, занимающийся батальной живописью"
баталия,"Obs сражение, битва"
батальон,"Войсковое подразделение из трех-четырех рот и специальных взводов, обычно входящее в состав полка или бригады"
батарейка,"1) От слова батарея 2
2) Маленькая аккумуляторная батарея"
батарея,"1) 1 артиллерийское подразделение из нескольких орудий и средств управления, а также позиция, которую занимает такое подразделение
2) 2 соединение нескольких однородных приборов, устройств, сооружений, образующих единое целое"
батискаф,Самоходный аппарат для глубоководных исследований
батник,Приталенная рубашка или кофта с отложным воротником и застежкой на планке
батог,"Палка, толстый прут для телесных наказаний в старину"
батон,Белый хлеб продолговатой формы
батрачество,Батраки
баттерфляй,"Стиль спортивного плавания на груди, при котором обе руки одновременно выбрасываются над водой"
батька,Синоним слова батюшка
батюшка,"1) У верующих: название священника или обращение к нему
2) Obs синоним слова отец (первое определение)"
баул,Продолговатый дорожный сундучок
бах,Бахнул (второе определение)
бахвалиться,"Хвастаться, кичиться"
бахнуть,Издать резкий и отрывистый низкий звук
бахрома,"1) Тесьма для обшивки чего-нибудь с рядом свободно свисающих нитей
2) Тесьма для обшивки чего-нибудь с рядом свободно свисающих нитей, а также ряд таких свисающих нитей, кистей"
бахча,"Участок, засеянный арбузами, дынями, тыквами"
бахчевод,Специалист по бахчеводству
бац,"Ударил, бацнул"
бацнуть,"1) Синоним слова бахнуть (второе определение)
2) Издать короткий, сильный и резкий звук"
бачок,От слова бак 2
башенка,От слова башня
башибузук,"Разбойник, головорез"
башкиры,"Народ, составляющий основное население башкирской асср, входящей в рсфср"
башлык,"Суконный теплый головной убор - остроугольный колпак с длинными концами, надеваемый поверх шапки"
башмак,"2 приспособление, накладываемое на рельс для остановки колес"
башмачник,"2 тот, кто работает с башмаками 2"
башня,"1) Высокий и узкий многоэтажный дом
2) Возвышение для орудий на судах, танках, бронемашинах"
баю-байбаю-баюшки-баю,"И баюшки-баю б-ю-б-юшки-ба¦,б-юшки-баю синоним слова бай 2"
баядера,"Индийская профессиональная танцовщица (при храмах, на празднествах)"
баянист,"Музыкант, играющий на баяне"
бдеть,Неусыпно следить за кем-чем-нибудь
бе,
бег,"1) Вид легкой атлетики - бегание на разные дистанции
2) От слова бегать, бежать"
бега,"1) 1 состязания, гонки упряжных рысистых лошадей (а также <состязания, гонки> некоторых других животных
2) "
бегать,"1) Синоним слова бежать (опред. 1/3,) но обозначает действие, совершающееся не в одно время, не за один прием или не в одном направлении
2) Избегать кого-чего-нибудь, устраняться
3) Синоним слова ухаживать (второе определение)
4) О глазах: быстро менять направление взгляда
5) Неотступно следовать, ходить за кем-нибудь с какой-нибудь целью"
